"","type0","type1","type2","type3","wd","d","m","y"
"1",10,6,3,1,"sat",1,9,2001
"2",12,6,3,1,"sun",2,9,2001
"3",15,7,2,1,"mon",3,9,2001
"4",21,8,3,1,"tue",4,9,2001
"5",10,13,3,1,"wed",5,9,2001
"6",10,10,4,2,"thu",6,9,2001
"7",20,8,2,1,"fry",7,9,2001
"8",16,10,2,1,"sat",8,9,2001
"9",12,3,2,1,"sun",9,9,2001
"10",10,6,2,1,"mon",10,9,2001
"11",17,9,4,1,"tue",11,9,2001
"12",15,5,3,1,"wed",12,9,2001
"13",9,6,2,1,"thu",13,9,2001
"14",16,5,4,1,"fry",14,9,2001
"15",26,5,7,1,"sat",15,9,2001
"16",6,7,2,1,"sun",16,9,2001
"17",19,9,3,1,"mon",17,9,2001
"18",12,12,2,1,"tue",18,9,2001
"19",16,6,2,1,"wed",19,9,2001
"20",15,4,3,1,"thu",20,9,2001
"21",15,8,7,1,"fry",21,9,2001
"22",12,6,3,1,"sat",22,9,2001
"23",9,11,2,1,"sun",23,9,2001
"24",12,11,3,1,"mon",24,9,2001
"25",10,9,3,1,"tue",25,9,2001
"26",16,9,3,1,"wed",26,9,2001
"27",8,5,2,1,"thu",27,9,2001
"28",7,13,2,1,"fry",28,9,2001
"29",11,6,3,1,"sat",29,9,2001
"30",15,8,3,1,"sun",30,9,2001
"31",13,15,3,1,"mon",1,10,2001
"32",11,6,4,1,"tue",2,10,2001
"33",26,7,3,1,"wed",3,10,2001
"34",13,6,2,1,"thu",4,10,2001
"35",19,9,3,1,"fry",5,10,2001
"36",19,8,5,1,"sat",6,10,2001
"37",20,6,2,1,"sun",7,10,2001
"38",15,7,4,1,"mon",8,10,2001
"39",18,7,2,1,"tue",9,10,2001
"40",15,9,2,1,"wed",10,10,2001
"41",14,8,2,1,"thu",11,10,2001
"42",8,4,2,1,"fry",12,10,2001
"43",12,4,2,1,"sat",13,10,2001
"44",8,8,2,1,"sun",14,10,2001
"45",13,11,2,1,"mon",15,10,2001
"46",9,3,2,1,"tue",16,10,2001
"47",13,8,2,1,"wed",17,10,2001
"48",13,14,2,1,"thu",18,10,2001
"49",13,14,2,1,"fry",19,10,2001
"50",19,10,2,1,"sat",20,10,2001
"51",15,7,3,1,"sun",21,10,2001
"52",11,14,2,1,"mon",22,10,2001
"53",15,8,3,1,"tue",23,10,2001
"54",17,15,3,1,"wed",24,10,2001
"55",23,7,6,1,"thu",25,10,2001
"56",13,10,2,1,"fry",26,10,2001
"57",14,7,3,1,"sat",27,10,2001
"58",15,8,3,1,"sun",28,10,2001
"59",17,10,2,1,"mon",29,10,2001
"60",17,15,4,1,"tue",30,10,2001
"61",24,5,4,1,"wed",31,10,2001
"62",21,9,5,1,"thu",1,11,2001
"63",29,8,5,1,"fry",2,11,2001
"64",11,5,4,1,"sat",3,11,2001
"65",12,9,4,1,"sun",4,11,2001
"66",7,14,3,1,"mon",5,11,2001
"67",18,9,7,1,"tue",6,11,2001
"68",19,11,5,1,"wed",7,11,2001
"69",20,15,8,1,"thu",8,11,2001
"70",17,10,2,1,"fry",9,11,2001
"71",15,6,3,1,"sat",10,11,2001
"72",22,14,3,1,"sun",11,11,2001
"73",11,8,7,1,"mon",12,11,2001
"74",19,14,3,1,"tue",13,11,2001
"75",25,9,4,1,"wed",14,11,2001
"76",15,18,2,1,"thu",15,11,2001
"77",17,18,9,1,"fry",16,11,2001
"78",20,7,3,1,"sat",17,11,2001
"79",15,6,7,1,"sun",18,11,2001
"80",21,12,4,1,"mon",19,11,2001
"81",36,24,8,1,"tue",20,11,2001
"82",12,11,2,1,"wed",21,11,2001
"83",11,7,2,1,"thu",22,11,2001
"84",18,12,5,1,"fry",23,11,2001
"85",17,13,3,1,"sat",24,11,2001
"86",10,11,3,1,"sun",25,11,2001
"87",21,21,4,1,"mon",26,11,2001
"88",14,18,2,1,"tue",27,11,2001
"89",21,7,3,1,"wed",28,11,2001
"90",17,18,3,1,"thu",29,11,2001
"91",25,15,3,1,"fry",30,11,2001
"92",13,10,4,1,"sat",1,12,2001
"93",18,6,4,1,"sun",2,12,2001
"94",17,11,2,1,"mon",3,12,2001
"95",13,13,3,1,"tue",4,12,2001
"96",22,13,2,1,"wed",5,12,2001
"97",12,5,2,1,"thu",6,12,2001
"98",25,12,6,1,"fry",7,12,2001
"99",15,9,2,1,"sat",8,12,2001
"100",12,9,2,1,"sun",9,12,2001
"101",15,9,3,1,"mon",10,12,2001
"102",16,10,3,1,"tue",11,12,2001
"103",18,8,6,1,"wed",12,12,2001
"104",19,15,3,1,"thu",13,12,2001
"105",13,18,4,1,"fry",14,12,2001
"106",21,5,3,1,"sat",15,12,2001
"107",12,6,2,1,"sun",16,12,2001
"108",19,16,2,1,"mon",17,12,2001
"109",26,15,3,1,"tue",18,12,2001
"110",21,11,3,1,"wed",19,12,2001
"111",25,22,2,1,"thu",20,12,2001
"112",20,8,2,1,"fry",21,12,2001
"113",17,8,8,1,"sat",22,12,2001
