,Unnamed: 0,type0,type1,type2,type3,wd,d,m,y,tmed,prec,tmin,tmax,velmedia,racha
0,1,10,6,3,1,sat,1,9,2001,22.8,0,16.0,29.6,1.7,10.0
1,2,12,6,3,1,sun,2,9,2001,24.6,0,18.4,30.7,1.1,7.2
2,3,15,7,2,1,mon,3,9,2001,25.6,0,19.6,31.7,1.7,9.7
3,4,21,8,3,1,tue,4,9,2001,22.7,0,16.0,29.4,2.5,11.4
4,5,10,13,3,1,wed,5,9,2001,22.2,0,15.0,29.4,1.4,11.4
5,6,10,10,4,2,thu,6,9,2001,23.3,0,17.0,29.6,0.8,10.8
6,7,20,8,2,1,fry,7,9,2001,24.3,0,17.6,31.0,2.5,10.8
7,8,16,10,2,1,sat,8,9,2001,23.4,0,16.7,30.0,1.9,9.4
8,9,12,3,2,1,sun,9,9,2001,24.2,1,18.3,30.2,1.1,8.3
9,10,10,6,2,1,mon,10,9,2001,22.2,0,16.3,28.1,1.7,10.8
10,11,17,9,4,1,tue,11,9,2001,23.4,0,17.5,29.4,1.9,6.1
11,12,15,5,3,1,wed,12,9,2001,23.0,0,18.4,27.6,3.1,10.8
12,13,9,6,2,1,thu,13,9,2001,22.6,0,18.0,27.2,1.7,6.4
13,14,16,5,4,1,fry,14,9,2001,20.1,0,16.2,24.0,1.1,6.4
14,15,26,5,7,1,sat,15,9,2001,21.5,0,16.0,27.0,1.9,6.7
15,16,6,7,2,1,sun,16,9,2001,22.6,0,16.7,28.5,1.7,6.4
16,17,19,9,3,1,mon,17,9,2001,21.7,0,17.2,26.2,3.3,13.3
17,18,12,12,2,1,tue,18,9,2001,20.9,0,16.2,25.6,2.8,12.5
18,19,16,6,2,1,wed,19,9,2001,20.6,0,14.7,26.4,2.2,11.9
19,20,15,4,3,1,thu,20,9,2001,21.8,1,16.4,27.3,2.2,8.6
20,21,15,8,7,1,fry,21,9,2001,20.5,1,17.5,23.5,1.4,7.5
21,22,12,6,3,1,sat,22,9,2001,20.3,1,14.6,26.0,0.8,9.2
22,23,9,11,2,1,sun,23,9,2001,21.0,0,16.5,25.5,1.4,7.8
23,24,12,11,3,1,mon,24,9,2001,21.3,0,15.6,27.0,1.9,7.8
24,25,10,9,3,1,tue,25,9,2001,20.8,0,15.0,26.7,1.9,11.7
25,26,16,9,3,1,wed,26,9,2001,15.6,0,10.5,20.8,2.5,11.1
26,27,8,5,2,1,thu,27,9,2001,13.4,0,9.0,17.7,3.6,10.3
27,28,7,13,2,1,fry,28,9,2001,14.0,0,7.4,20.6,2.2,8.6
28,29,11,6,3,1,sat,29,9,2001,16.3,1,12.8,19.8,2.8,11.4
29,30,15,8,3,1,sun,30,9,2001,17.3,1,12.4,22.2,1.4,6.7
30,31,13,15,3,1,mon,1,10,2001,17.0,1,14.8,19.3,1.4,6.1
31,32,11,6,4,1,tue,2,10,2001,18.0,1,13.6,22.5,0.8,6.7
32,33,26,7,3,1,wed,3,10,2001,15.5,1,13.6,17.4,1.4,5.8
33,34,13,6,2,1,thu,4,10,2001,15.4,1,12.0,18.9,0.6,8.6
